Date,Close,High,Low,Open,Volume
01-01-1985,11992.30957,11992.30957,11543,11543,0
01-02-1985,12321.91992,12321.91992,11823.42969,11946.95996,0
01-03-1985,12580.75977,12604.01953,12263.84961,12412.13965,0
01-04-1985,12426.29004,12683.25977,12052.82031,12677.15039,0
01-05-1985,12758.45996,12790.26953,12358.03027,12456.65039,0
01-06-1985,12882.08984,12910.29004,12473.41016,12473.41016,0
01-07-1985,12232.26953,13029.65039,12232.26953,12919.03027,0
01-08-1985,12713.15039,12734.0498,12326.70996,12538.33984,0
01-09-1985,12700.11035,12755.59961,12453.84961,12726.63965,0
01-10-1985,12936.46973,13055.51953,12685.36035,12685.36035,0
01-11-1985,12763.26953,12892.40039,12589.50977,12808.09961,0
01-12-1985,13083.17969,13128.94043,12774.5498,12796.91992,0
01-01-1986,13024.2998,13056.41992,12881.5,13053.79004,0
01-02-1986,13640.83008,13642.13965,13086.46973,13086.46973,0
01-03-1986,15859.75,15859.75,13757.62988,13757.62988,0
01-04-1986,15825.5,15827.28027,15014.05957,15745.87012,0
01-05-1986,16670.76953,16670.76953,15689.98047,15782.65039,0
01-06-1986,17654.18945,17654.18945,16669.53906,16739.26953,0
01-07-1986,17509.71094,18050.58984,17469.82031,17622.74023,0
01-08-1986,18533.67969,18936.24023,17263.09961,17321.92969,0
01-09-1986,17852.85938,18820.75,17336.61914,18820.75,0
01-10-1986,16910.63086,17650.23047,15819.5498,17564.39063,0
01-11-1986,18326,18326,16713.71094,16902,0
01-12-1986,18701,18933.07031,18190.9707,18307.98047,0
01-01-1987,20024,20048.34961,18544.05078,18820.55078,0
01-02-1987,20767,20767,19457,20072.08984,0
01-03-1987,21566.66016,22184,20933.82031,20933.82031,0
01-04-1987,23274.83008,24097.78906,22040.17969,22040.17969,0
01-05-1987,24902,24902,23419.59961,23680.89063,0
01-06-1987,24176.40039,25929.41992,24176.40039,24992.7793,0
01-07-1987,24488.10938,24636.46094,22702.74023,24252.38086,0
01-08-1987,26029.2207,26048,24172.59961,24492,0
01-09-1987,26010.88086,26118.41992,24795.24023,26118.41992,0
01-10-1987,23329,26646.42969,21910.08008,25721.74023,0
01-11-1987,22686.7793,23358.59961,21036.75977,23358.59961,0
01-12-1987,21564,23280.83984,21515,22832.89063,0
01-01-1988,23719,23728,21217.03906,21217.03906,0
01-02-1988,25242.81055,25289,23595.36914,23732.32031,0
01-03-1988,26260.25977,26320.07031,25284,25435.90039,0
01-04-1988,27510,27510,26064,26104.2207,0
01-05-1988,27416.69922,27967.25,26928.82031,27520.71094,0
01-06-1988,27769.40039,28394.7207,27177.53906,27427.78906,0
01-07-1988,28200,28206.91992,27109.31055,27779.16016,0
01-08-1988,27365.94922,28475.67969,27265.7793,28234.46094,0
01-09-1988,27923.66992,28034.0293,26701.43945,27329.40039,0
01-10-1988,27982.53906,28045.7793,26962.56055,27935,0
01-11-1988,29578.90039,29579.86914,27767.42969,27976.42969,0
01-12-1988,30159,30264.35938,29292.21094,29614.19922,0
01-01-1989,31581.30078,31743.2207,30082.81055,30165.51953,0
01-02-1989,31985.59961,32597.90039,31303.7207,31576.92969,0
01-03-1989,32838.67969,32963.71094,31343.55078,32006.91016,0
01-04-1989,33713.35156,33737.67188,32703.83008,32862.51172,0
01-05-1989,34266.75,34337.94141,33582.42969,33721.57813,0
01-06-1989,32948.69141,34327.80078,32605.59961,34294.39844,0
01-07-1989,34953.87109,34954.75,32696.53906,32894.64063,0
01-08-1989,34431.19922,35191.55859,34244.42969,34949.67188,0
01-09-1989,35636.76172,35778.03125,33955.14063,34439.01172,0
01-10-1989,35549.44141,35771.17969,34460.87109,35671.69141,0
01-11-1989,37268.78906,37268.78906,35098.78125,35545.03125,0
01-12-1989,38915.87109,38957.44141,37058.60156,37284.37109,0
01-01-1990,37188.94922,38950.76953,36365.17188,38921.64844,0
01-02-1990,34591.98828,37886.69141,32443.17969,37242.03125,0
01-03-1990,29980.44922,34587.85938,28830.36914,34587.26953,0
01-04-1990,29584.80078,30524.18945,27251.03906,29979.96094,0
